rating,review
1,"Absolutely the WORST pool company that I have EVER had to deal with.  The customer service is horrible.  After leaving many messages over the course of a few weeks I was only able to contact them when I called them AGAIN.  I asked to speak with the actual pool tech who initially came to my house.  The RUDE lady on the phone told me that she was more than capable to answer my questions - about a pump that SHE HAS NOT SEEN, and about a conversation I had with the tech THAT SHE DID NOT HEAR.  

I was assigned to them by my home warranty company, and I will be filing a serious complaint with them and the BBB.  I was told to take the cash out option from the warranty company for the part and then they would do the work and I could just pay them directly.  After I received the cash out and called to schedule the appointment I was told that I need to replace the entire pool pump system and that would cost an additional $400 and that there was an electrical problem and that it would cost additional money as well.  

I was then told that the salt cell that I need is no longer on the market, even though I was able to find them on Amazon.  This is the reason that I am STILL trying to discuss my options with the tech who ACTUALLY SAW MY POOL AND THE PUMP.  

If you don't want to be scammed or jacked around with USE ANOTHER POOL COMPANY."
1,"No excuse for lackluster treatment of customers! Being under new management, late night out partying??? What ever the reason customers should always be offered a slice of bread the way I understand it.  Yes there is a tacky reminder at the door re: did you use your punch card."
1,"We walked in at 10:40 and sat at a table right next to the bar. Waiters and waitresses walked past us repeatedly and we finally went up to the bar to get our drinks. At 11:02 I went back up to the bar to inquire about getting food and was told they stopped serving at 11 to which I replied to the bartender that we had been sitting at a table right across from her for 20 minutes. She called out somebody's name and I told her not to worry about it cuz I was so pissed off with her attitude she also mentioned that they are not a 2 a.m. bar, and with her attitude I could see why. The owner or manager came over a few minutes later and offered to buy us a shot for our troubles. At first we said no but then we were like screw it. I doubt I will give this place a second chance as it was obvious the waiters and waitresses did not want to serve us. They did wait on a table directly behind us and quickly got them menus and served them. Just overall crappy service."
1,"I've heard a lot of rave reviews for the Kauai Chicken, so I had to try it for myself. I decided to do a takeout. It was Tuesday around 11:43a and had only 3 people there, two one one table and a single diner. I waited about 5 minutes then my order was ready. I couldn't wait till I got home, thinking about the great chicken I was going to devour. I got home and opened the cover and had 1 quarter piece and 1 thigh. Took a bite of the thigh and almost spit it out. The inside never look fresh and it was really oily. By oily, there was a ton of cooking oil at the bottom of the plate. I took a bite of the quarter piece .. the drumstick to be exact and it tasted the same. The meat fell off the bone, but it didn't taste freshly cooked. It looked like they fried the chicken ahead of time and then refrigerated it until someone ordered it, then put it in the fryer again. The color of the chicken meat wasn't white, it was a greyish color. I know my chicken and that chicken wasn't cooked fresh. That's why my order was given to me in less than 5 minutes! The only thing I enjoyed was the mac salad .. not too much mayo and the mac not overcooked. The rice was perfect and just enough. Only problem was the main dish. I hope these guys not cutting corners since the restaurant should be busy around this time. I hope they shape up before it's too late cause I want to see them succeed because they the only one close to where I live. I normally take the long drive to Ross J's or Island Style. Looks like I make that trek if I want good food."
1,"The WORST wings I've ever eaten!!  I cancelled my main course order because the wings made me ill.  I was still charged for the wings, and the chickencrap manager didn't have the guts to come out and talk!  They did send a lettuce salad ""on the house"" after I was told the wings would be taken off the bill.  Of course, the wings were not taken off thebill, but the server was nice and I didn't want to create a scene.  I paid, but will not go back to Outback in Chandler, Az!!  Oh, by the way, I spent an hour on the Hershey Highway when I got home!  Unless I get at least an acknowlegement from the manager, I will not go back, and will continue the email campaign against this Outback in Chandler, AZ (located next to the Chandler Mall)!!  

If you go, stay away from those poop inducing wings!!"
1,"Went there early morning with few other families. Five minutes after being seated waitress came by and informed us that they cannot serve pancakes since the cabinet they keep pancake mix is locked by manager who is not on shift. We started looking at other options and asked her about few other items and answer was no to french toast and few other items. So it turns out 90% of things we wanted to order were locked by manager. As we decided to leave another waiter (who was saw standing outside texting) came by and told us not to go to ihop since they have long wait times. We called ihop and they did not have any wait time. At IHOP we were treated nicely and fresh pancakes, crepes, hash browns and eggs were served without much wait. I do not think I be coming back to Denny's since we had called ahead the night before informing we would be coming early morning. But instead of quality service we got ""things are locked by manager"" and do not go to IHOP as sales pitch. They need to work on customer service and be more professional."
1,"My wife and I looked forward to eating here for weeks. We decided to get one of our favorites tonight, bbq pork ribs. Let me say... extremely disapointed! Neither one of us would recommend this place."
1,"This is the worst Denny's ever , I mean nobody expects much from Denny's let's be honest , so I call to order no answer 20 rings , call back get put on hold then I say I'll start driving there to pick up the salmon , ok nobody comes back on phone , I walk in no line , nothing awful !!!"
1,"I love steaks...and I thought outback is known for their steaks. I cannot be more wrong. Today I had the worse steak at any restaurant I've ever been to. We came here to celebrate Father's day. I initially ordered prime ribs. Apparently 12pm is too early for serving that. So I picked Rib eye. Oh no it was too early for that too. Fine. I ordered my 3rd favorite - medium filet Mignon and pay extra to have grill asparagus. 

When the food arrived, the filet mignon was as hard as a rock and it was all burn up on the outside. As for the asparagus, it was also completely burn up to the point I couldn't even chew into it. This is the first time the food was so bad I didn't even want them to replace my meal. My appetite was completely ruin at that point. 

Take a look at the photo - it is gross. I will never eat here again. If you plan on bringing your dads here for father's day, please reconsider....

P.S. Upon reviewing other yelpers review, I should have never come here. Yelpers already complained about the food and how it always ran out of prime ribs and rivets.  I hope this place will close down soon and make room for the good one."
1,Waited hour in a half for food! Not busy in here! Waited an additional 23 minutes to get the avacado that was supposed to be on the burger. The servers are not attentive... the manager walked around with out asking to help ...
